subject_id,task,n_words,reading_duration_sec,reading_speed_wpm
1459,T4,88,142.047159,37.170753974741594
1209,T1,89,87.764053,60.84495664756959
1318,T5,97,219.164721,26.555368826901663
1186,T5,97,111.430019,52.230090708321605
1255,T1,89,57.142807,93.45008200244696
1134,T1,89,108.982141,48.998853858083045
1038,T5,97,306.980674,18.958848204235814
1166,T5,97,313.404355,18.570258859357587
1869,T4,88,94.655435,55.7812660202766
1314,T1,89,68.597806,77.84505527771543
1082,T5,97,294.094025,19.789589400872735
1421,T5,97,294.24184,19.779647924985788
1189,T5,97,158.261721,36.774527429788286
1109,T1,89,52.935078,100.87828717282707
1258,T1,89,68.17791,78.32448955974156
1065,T5,97,183.683523,31.684932349647934
1058,T1,89,96.735093,55.20230388365884
1019,T1,89,60.134716,88.80061893033636
1075,T5,97,182.479402,31.89401070045155
1760,T5,97,130.512441,44.5934499072008
1284,T5,97,162.601648,35.79299516078705
1160,T5,97,111.866058,52.02650476876552
1913,T5,97,297.477513,19.56450402353606
1380,T4,88,101.25476,52.14569665663125
1169,T1,89,55.451071,96.30111562678383
1166,T1,89,125.07684,42.693755294745216
1189,T4,88,59.410543,88.87311465912708
1003,T5,97,125.829062,46.25322566578459
1090,T1,89,83.54865,63.91485679301821
1019,T5,97,143.603389,40.5282914318965
1174,T1,89,87.736295,60.86420676870388
1257,T1,89,65.102504,82.0244947874816
1744,T4,88,93.471643,56.487720024350054
1258,T4,88,73.001342,72.32743748738208
1903,T4,88,241.123116,21.89752723666693
1254,T4,88,67.725941,77.96126450277006
1115,T1,89,81.949123,65.16238129845513
1021,T4,88,87.908068,60.06274645917597
1082,T1,89,99.42314,53.70983052838604
1209,T4,88,71.321675,74.03079077994173
1405,T1,89,104.370748,51.16376094190683
1405,T5,97,218.468645,26.639978473798834
1312,T1,89,164.585139,32.44521365929642
1345,T1,89,62.450184,85.50815478782256
1476,T1,89,174.884318,30.534470220480262
1271,T4,88,67.230071,78.53628475269646
1160,T1,89,61.498512,86.83136918824964
1235,T4,88,79.192871,66.67266804861767
1760,T1,89,60.982608,87.56594995084501
1016,T1,89,103.942848,51.374386047224725
1996,T5,97,218.984827,26.577183815570933
1879,T4,88,166.797154,31.65521637137765
1903,T1,89,156.75015,34.06695304597795
1349,T5,97,210.985514,27.584832198479752
1729,T5,97,533.58069,10.907441196944365
1476,T5,97,217.651576,26.739985562980717
1571,T5,97,239.48298,24.302353344692804
1858,T1,89,192.010809,27.810934331306317
1929,T4,88,168.840975,31.272029790162016
1174,T4,88,95.511654,55.281212070728046
1271,T5,97,130.456434,44.61259457697579
1322,T1,89,87.696389,60.89190285816671
1040,T4,88,67.305992,78.44769600899724
1073,T4,88,46.035762,114.69344202448524
1258,T5,97,169.012573,34.43530795782868
1300,T5,97,369.187744,15.764336965638815
1312,T4,88,154.842214,34.09922826342434
1582,T1,89,106.502636,50.13960405637284
1929,T5,97,383.137933,15.190351825591753
